"site","job_url","job_url_direct","title","company","location","job_type","date_posted","interval","min_amount","max_amount","currency","is_remote","emails","description","company_url","company_url_direct","company_addresses","company_industry","company_num_employees","company_revenue","company_description","logo_photo_url","banner_photo_url","ceo_name","ceo_photo_url","Removal_Reason"
"glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009396821793","","Data Scientist","UCLA Health","Los Angeles, CA","","2024-08-07","yearly",76200.0,158800.0,"USD",False,"","**Description**
As a Data Scientist for our Faculty Practice Group, you will collaborate closely with stakeholders to understand and address business challenges through innovative technology solutions. You will:


* Act as a liaison among stakeholders to elicit, analyze, define, and document requirements.
* Automate data collection, clean and prepare data for analysis.
* Use coding and programming to collect, analyze, and interpret data to improve operations.
* Create tools to visualize data and provide actionable insights.
* Develop algorithms and models to support machine learning programs.
* Present data in a clear and concise manner to assist in decision-making.

Salary Range: $76,200 - $158,800/annually

 **Qualifications**
We’re seeking a self-motivated, analytical professional with:

  

* A Bachelor’s degree in IT related field or equivalent experience
* Professional certifications, preferred
* Two or more years in healthcare IT
* Strong in SQL (MS SQL Server/Oracle), SAS, R, Python, and data management analysis
* Strong analytical and problem-solving skills, required
* Proficiency in data mining, mathematics, and statistical analysis
* Experience in pattern recognition and predictive modeling, required
* Ability to translate business questions into reports and BI query objects
* Extensive understanding of data warehouse concepts, best practices in reporting, workflows, policies, procedures, and healthcare systems.","https://www.glassdoor.com/Overview/W-EI_IE321780.htm","","","","","","","","","","",""
"glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009397017731","","DATA SCIENTIST","FriendFinder Networks Inc.","San Jose, CA","","2024-08-07","yearly",109770.0,169676.0,"USD",False,"","* This is a 100% remote
* The initial screening with Human Resources will be by a 15 minute video conference: All cameras must be turned on
* All interviews will be by video with manager and hiring team: All cameras must be turned on
* Remote Data Scientist **must** live in the United States and be authorized to work in the United States
* This is a full-time job as a FriendFinder Networks employee. This is not a C2C, 1099, or Contract to Hire, and is not negotiable.


**WHAT WE WANT**



FriendFinder Networks is looking for a Data Scientist with the primary responsibility to query and analyze large disparate datasets looking for relationships and trends typically related to increasing revenue, improving membership conversions, fraud detection and prevention, and providing actionable insights for solutions to business problems. You will communicate your findings and make presentations to senior management on a regular basis. Your contributions will ensure FriendFinder Networks will continue to provide our customers the best possible user experience for everyone who visits our web sites 24 hours a day, every day of the year, all over the world.


**WHAT YOU WILL DO**

* Analyze complex data to provide recommendations for maximizing profitable revenue, traffic conversion opportunities, and reducing costs to support business objectives
* Perform data analysis to support executive decisions
* Work with stakeholders identifying and defining operational problems, plan project strategy, and define data requirements
* Develop and deploy machine learning models to predict business outcomes, optimize processes, and extract actionable insights from complex datasets
* Create reusable tools and frameworks for data analysts, streamlining data processing, analysis, and visualization workflows across multiple databases and data sources
* Dive into complex data sets to analyze trends, identify opportunities and quantify the potential value of new initiatives.
* Collect and evaluate data gathered from multiple sources and abstract up from low-level information to a better understanding to present to management and executives
* Able to define business requirements for reporting, dashboards, analytics and ad-hoc reporting for various Business Units
* Effectively communicate findings to non-technical stakeholders and senior leadership


**WHAT YOU MUST HAVE**


* Bachelor’s degree in applied or technical discipline (CS, Math, Statistics, Engineering or similar) is required
* 2 years’ of relevant data science experience
* Strong proficiency in Python for data analysis and machine learning
* Experience working with MySQL databases and writing SQL queries
* Familiarity with data visualization libraries in Python (e.g. Matplotlib, Seaborn)
* Knowledge of statistical analysis and machine learning techniques
* Must be comfortable with adult content
* Must be at least 21 years old


**WHAT IS PREFERABLE TO HAVE**


* Proficiency in data engineering practices, including designing and maintaining data pipelines, ETL processes, and working with big data technologies (e.g., Apache Spark, Hadoop)
* Experience with Natural Language Processing (NLP) techniques and libraries (e.g., NLTK, spaCy, transformers), including tasks such as text classification, sentiment analysis, and named entity recognition
* Demonstrated ability designing effective solutions to complex problems; intuitive/natural aptitude for problem solving
* Solid track record of ownership of projects and adept at working independently with little supervision
* Articulate and comfortable communicating with colleagues, different teams, and all levels of management


**WHAT YOU SHOULD BE ABLE TO DEMONSTRATE**


* Demonstrated strong analytical skills
* Team-player, positive attitude and flexible
* Excellent verbal and written communication skills
* Ability to handle multiple projects simultaneously while meeting deadlines
* Should have a high degree of honesty and integrity
* Should be a team-player, positive attitude and flexible

  


**REPORTING TO THIS POSITION:** No direct reports



PERKS



FriendFinder Networks Inc. and its subsidiaries offer a business casual work environment, flexible work hours, and a competitive salary. The benefits package includes:


* 401(k) with a 6% match on eligible earnings with no vesting period
* Medical (Kaiser HMO, Blue Shield), Dental, and Vision
* Flexible Spending Account for Healthcare and Dependent Care
* Life Insurance, AD&D, LTD and Short and Long Term Disability
* Paid Time Off (20 days PTO) and Holiday Pay (12 company paid holidays off)
* Employee Assistance Program
* Commuter Benefits
* Tuition Reimbursement
* Health Club Reimbursement
* Casual Dress Code
* Tattoo Friendly
* LGBTQ Friendly

  


**ABOUT US**

  

WE ARE PASSIONATE ABOUT WHAT WE DO



Not only do we love what we do, but we truly believe in it. We grow through positive education, skill training, courses, big stories, and big dreams. We are constantly improving and striving for perfection to revolutionize and enhance the lives of our members.

  



WE CARE ABOUT PEOPLE



The main precondition of any relationship is the ability to put ourselves in someone else’s shoes to truly understand them. Satisfied customers, employees, and business partners are not just a cog in the wheel, but the main ingredient of the company’s success.

  



WE EMBRACE DIVERSITY IN ALL FORMS



FriendFinder Networks has embraced diversity from the beginning of its history dating back to the mid-1990s. We created the first online personals sites for gays and lesbians, for non-English-speaking audiences, and for those who enjoy what was once called “alternative lifestyles”. Headquartered in San Francisco / Silicon Valley and staffed throughout the world, our team also relies on diversity of background, perspectives, and ideas.","https://www.glassdoor.com/Overview/W-EI_IE195597.htm","","","","","","","","","","",""
"glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009396791100","","Data Scientist || Semi-Conductor","Braintree Technology Solutions Inc.","Santa Clara, CA","","2024-08-07","yearly",143456.0,207625.0,"USD",False,"","**Position: Data Scientist - Material Discovery**

**Location: Santa Clara, CA (On-site)**

**Role Summary** 

· ""Accelerate material discovery and development for **Semi-Conductor manufacturing** processes using Computational Chemistry, AI, ML.

· **Requirements: Expertise in DFT, QMMM, and Cheminformatics** 

· Strong knowledge in

· Good understanding of chemistry concepts (structure, reactivity, properties) Solid background in programming (Python)

· Good Knowledge of Machine Learning and Deep Learning (ideally including graph neural network)

· **Good skills in data visualization and representation for analytics purposes** 

· Excellent communication skills with a desire to work in multidisciplinary teams.  
Some knowledge of semi-conductor manufacturing process would be an added bonus""

Job Type: Contract

Benefits:

* 401(k)
* Dental insurance
* Health insurance
* Paid time off
* Referral program
* Vision insurance

Experience:

* Semi-Conductor manufacturing: 5 years (Preferred)
* DFT, QMMM, and Cheminformatics (ANY): 4 years (Preferred)
* Python: 4 years (Preferred)

Ability to Commute:

* Santa Clara, CA 95050 (Required)

Work Location: In person","https://www.glassdoor.com/Overview/W-EI_IE2086220.htm","","","","","","","","","","",""
"glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009398218172","","Decision Scientist","The Walt Disney Company (Corporate)","Lake Buena Vista, FL","","2024-08-07","yearly",73902.0,122216.0,"USD",False,"","\*\*\* This position is a hybrid role working 4 days out of the Orlando office and may require relocation to the Orlando area \*\*\*

**Job Summary:**


The Decision Science team focuses on creating innovative mathematical models to inform business decision making through data. The team is interested in all fields related to data science, with emphasis on statistics, operations research, econometrics, and machine learning.

  

  

The Decision Science team resides within the Disney Decision Science + Integration (DDSI) organization. DDSI provides internal consulting services for clients across The Walt Disney Company. The DDSI team sits at the intersection of business strategy, advanced analytics, and technology integration to help our partners explore opportunities for analytics, shape business decisions, and drive value. Our work includes conceptualizing new solutions, solution design and development, implementation and integration with business processes, and ongoing business support.

 **Responsibilities:**

* **Achieve business goals and** **objectives**—Research and develop decision science models and act as a consultant to all business units within The Walt Disney Company
* **Pursue innovation**—Conduct research on analytical techniques and translate that research into usable and sustainable solutions for users
* **Put your skills to the test**—Perform data collection and data mining, and build state-of-the-art decision science algorithms, tools, and systems
* **Drive value**—Model and analyze revenue management and pricing related issues using various mathematical, statistical, and simulation techniques
* **Tell the story**—Present science results to business partners and clients
* **Support a global and enterprise-wide mission**—Identify and apply best practices in the field of advanced analytics for multiple businesses such as theme parks and resorts (e.g., Walt Disney World), Disney Cruise Line, media (e.g., ABC, ESPN), movies (e.g., Walt Disney Animation Studios), live shows (e.g., Disney on Broadway), and retail (e.g., shopDisney)
 **Basic Qualifications:**


Must exhibit competence in **at least one of the following four analytical fields**, inclusive of topics as noted:

* **Statistics** (two or more topics):  

Bayesian statistics  

Generalized linear models  

Mixture models  

Nonparametric regression  

Structural equation models  

Time series (state space models, ARIMA, etc.)
* **Optimization** (at least one topic):  

Decision analysis or multiple criteria decision making  

Mixed-integer optimization  

Nonlinear optimization  

Stochastic optimization  

Discrete-event simulation and stochastic models
* **Econometrics** (two or more topics):  

Generalized method of moments  

Instrumental variables  

Limited dependent variables  

Panel data  

Simultaneous equations models
* **Machine learning** (two or more topics):  

Boosting  

CART  

Clustering  

Graphical models  

Neural networks  

Random forests  

Reinforcement learning  

Support vector machines
  

Must exhibit competence in at least one computing topic:

* General computing (Python, Java, C, C++, etc.)
* Statistical computing (R, SAS, etc.)
* Scientific computing (Julia, MATLAB, etc.)
 **How to Stand Out:**

* Proven knowledge of revenue management context, including demand forecasting, resource allocation, and pricing
 **Required Education:**

* Master’s plus 1 year experience or Ph.D. degree in Statistics, Operations Research, Industrial Engineering, Mathematics, Econometrics, or related field
* **DISNEYTECH**","https://www.glassdoor.com/Overview/W-EI_IE717.htm","","","","","","","","","","",""
"glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009396631334","","Data Scientist","One to One Health","Chattanooga, TN","","2024-08-07","yearly",110000.0,120000.0,"USD",False,"","**One to One Health is looking for a Data Scientist to join our growing team!**

Position Location: Onsite position in Chattanooga, Tennessee

**About One to One:**

One to One Health is an innovative healthcare company that prides itself on delivering relationship-driven care. By partnering with employers to provide coordinated and patient-centered care, we improve the health and wellness of our patients while reducing costs. Our offerings include primary care, occupational health, virtual care, wellness, and mental health. Our clients include school systems, manufacturers, utilities, and large universities.

We were founded by a primary care physician whose passion is delivering the best healthcare outcomes with a focus on patient experience. We are dedicated to improving the lives of the over 150,000 patients we support, expanding our vision to “do good and help others.”

This extends to our clients, our patients, and our employees. One to One Health offers full time employees medical, dental, and vision coverage effective day one of employment. Employees are eligible to contribute to the company 401k effective day one as well with a 5% match. Short term disability, long term disability, and basic life are covered by the employer for all full time staff members. PTO, holidays, gym stipend, TextCare services, and additional voluntary products are also included in One to One Health's very competitive benefit package.

**About the role:**

One to One Health is seeking a Data Scientist who can join the data team and build robust analytical models that efficiently deliver client reporting and internal operational insights.

We’re looking for someone who has a passion for helping people and a desire to realize One to One’s goal of patient-first healthcare and creating the best patient outcomes for the most people. We’re looking for a self-starter who can simultaneously improve established processes while building new analytical tools that optimize operations.

**Job requirements:**

* Utilize expertise in Excel, SQL, R, Tableau, and Python to merge diverse data sources and construct intricate analytical models.
* Experience with the Microsoft ecosystem, Power Automate, and other integration tools to merge multiple licensed software data sources.
* Seamlessly integrate analysis with business operations.
* Ability to deliver accurate client-facing reports independently.
* Develop business models that align with business processes to reveal key performance indicators (KPIs).
* Address complex administrative, operational, and financial challenges with clarity and efficiency, presenting solutions effectively.
* Demonstrate exceptional communication skills, both verbal and written.

**Desired Qualifications:**

* Prior experience with healthcare data analysis

**What we offer:** 

* Shape the trajectory of our company by building and leading a team, collaborating closely with the VP of Strategy and Operations, and other executives.
* Experience the excitement of a startup environment where your contributions will have a far-reaching impact with a high degree of autonomy and responsibility. You will have ample opportunities to grow personally and professionally.
* Competitive salary & comprehensive benefits package.
* Relocation assistance for this in-person role at our corporate office, where you’ll collaborate closely with the operations team and provide valuable insights.

*One to One Health is an equal opportunity employer and does not discriminate in hiring based on race, color, creed, religion, sex, sexual orientation, national origin, age, disability, pregnancy, genetic information, gender identity, or veteran status.*

Job Type: Full-time

Pay: $110,000.00 - $120,000.00 per year

Benefits:

* 401(k)
* Dental insurance
* Health insurance
* Life insurance
* Paid time off
* Vision insurance

Schedule:

* Monday to Friday

Work Location: In person","https://www.glassdoor.com/Overview/W-EI_IE7386012.htm","","","","","","","","","","",""
"glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009397213186","","AI Resident","Toyota Research Institute","Los Altos, CA","","2024-08-07","hourly",55.0,65.0,"USD",False,"","At Toyota Research Institute (TRI), we’re on a mission to improve the quality of human life. We’re developing new tools and capabilities to amplify the human experience. To lead this transformative shift in mobility, we’ve built a world-class team in Robotics, Human-Centered AI, Human Interactive Driving, and Energy & Materials.  

The Energy & Materials Division is accelerating Toyota’s path to carbon neutrality. Your activities will support the Accelerated Materials Design and Discovery (AMDD) program, which aims to accelerate the discovery of new materials and devices for batteries, fuel cells, and more. Our research merges materials simulations, new experimental data, artificial intelligence, and automation. We collaborate closely with universities, national labs, and colleagues across global Toyota. AMDD seeks to develop and translate the newest technologies into practice, both within Toyota and across the open research community more broadly.  

We are looking for a graduate resident who can help us develop innovative AI solutions to accelerate real materials discovery. This is a full-time program (9-12 months long) where you will have the opportunity to work collaboratively with us on a project to translate the latest AI techniques into the materials science domain. You will craft novel architectures to integrate multi-modal data from both simulations and experiments. We regularly present our work at conferences, engage with the Toyota family of companies, patent our innovations, and publish papers in peer-reviewed venues.
### **Responsibilities**

+ Translating and crafting new ML architectures for the materials science domain.
+ Software engineering with rapid and accurate code development, in frameworks such as PyTorch.
+ Scaling up training and inference (machine learning engineering).
+ Composing research results in the form of an academic paper, conference presentation, and open-source projects.

### **Qualifications**

+ Master's degree or currently enrolled in a graduate program in computer science, statistics, materials science, physics, or a related field.
+ Hands-on experience with current deep learning frameworks (PyTorch, TensorFlow, etc.), as evidenced by released code (e.g. on GitHub or elsewhere).
+ Have a strong research background, including at least one publication in a peer-reviewed venue
+ Thrive in a culture that values diversity, teamwork, modesty, and learning.

### **Bonus Qualifications**

+ Experience with multimodal models and/or materials science applications

*The pay range for this position at commencement of employment is expected to be between $55 and $65/hour for California-based roles; however, base pay offered may vary depending on multiple individualized factors, including market location, job-related knowledge, skills, and experience. Note that TRI offers a generous benefits package including vacation and sick time. Details of participation in these benefit plans will be provided if an employee receives an offer of employment.*  

Please reference this Candidate Privacy Notice to inform you of the categories of personal information that we collect from individuals who inquire about and/or apply to work for Toyota Research Institute, Inc. or its subsidiaries, including Toyota A.I. Ventures GP, L.P., and the purposes for which we use such personal information.  

TRI is fueled by a diverse and inclusive community of people with unique backgrounds, education and life experiences. We are dedicated to fostering an innovative and collaborative environment by living the values that are an essential part of our culture. We believe diversity makes us stronger and are proud to provide Equal Employment Opportunity for all, without regard to an applicant’s race, color, creed, gender, gender identity or expression, sexual orientation, national origin, age, physical or mental disability, medical condition, religion, marital status, genetic information, veteran status, or any other status protected under federal, state or local laws.  

Pursuant to the San Francisco Fair Chance Ordinance, we will consider qualified applicants with arrest and conviction records for employment.","https://www.glassdoor.com/Overview/W-EI_IE1351328.htm","","","","","","","","","","",""
"glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009397178658","","Assistant Data Scientist - Cancer Biology","MD Anderson Cancer Center","Houston, TX","","2024-08-07","","","","",False,"","MD Anderson's Cancer Biology department has a long history of being a leader in the field of basic and translational cancer biology research. The department emphasizes the training of students, postdoctoral fellows and clinical fellows in the fundamentals of tumor biology to improve the outcomes of patients with malignancies. The department has built a program with close ties to many clinical departments to facilitate information exchange between the laboratory and the clinic. As such, faculty in the department are investigators on NIH funded collaborative cancer biology research grants. In addition, there are several physician-scientists who have joint appointments in Cancer Biology, facilitating the exchange of clinically-relevant information between the laboratory and the clinic.  

  

**Please note this onsite role requires physical presence at the workplace for three or more days per week. This is not a remote position.**  

  

The main role of the Assistant Data Scientist is to offer bioinformatic assistance for ongoing research projects and develop pipelines as well as innovative methods for analyzing data derived from next-generation sequencing.  

  

**KEY FUNCTIONS**  

  

**Research Design and Implementation**  

* Under direct supervision, conducts bioinformatics analysis on single-cell RNA-seq and other omics data.
* With direction, maintains and develops pipelines for 3'-seq data analysis.
* Develops approaches to offer bioinformatic and statistical assistance for research endeavors.

  

**Data organization**  

* Organizes, documents, and maintains data, algorithms, and software.

  

**Laboratory Organization**  

* Demonstrates a willingness to learn and implement new methods essential for laboratory research.
  

  

  

**Education**
  

  

Required: Bachelor's degree in Biomedical Engineering, Electrical Engineering, Computer Engineering, Physics, Applied Mathematics, Statistics, Computer Science, Computational Biology, or related field.
  

  

Preferred: Master's degree in Data Science or related field.  

  

**Experience**
  

  

Required: None.
  

  

Preferred: Experience in analyzing either bulk or single-cell RNA-seq data  

  

It is the policy of The University of Texas MD Anderson Cancer Center to provide equal employment opportunity without regard to race, color, religion, age, national origin, sex, gender, sexual orientation, gender identity/expression, disability, protected veteran status, genetic information, or any other basis protected by institutional policy or by federal, state or local laws unless such distinction is required by law. http://www.mdanderson.org/about-us/legal-and-policy/legal-statements/eeo-affirmative-action.html  

  

Additional Information
  

* Requisition ID: 169615
* Employment Status: Full-Time
* Employee Status: Regular
* Work Week: Days
* Minimum Salary: US Dollar (USD) 66,000
* Midpoint Salary: US Dollar (USD) 82,500
* Maximum Salary : US Dollar (USD) 99,000
* FLSA: exempt and not eligible for overtime pay
* Fund Type: Soft
* Work Location: Onsite
* Pivotal Position: Yes
* Referral Bonus Available?: No
* Relocation Assistance Available?: Yes
* Science Jobs: Yes

  

#LI-Onsite","https://www.glassdoor.com/Overview/W-EI_IE19300.htm","","","","","","","","","","",""
"glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009398361232","","Associate Data Scientist - Predictions","ServiceNow","Santa Clara, CA","","2024-08-07","yearly",109400.0,158600.0,"USD",False,"talent.acquisition@servicenow.com","**Company Description**  

It all started in sunny San Diego, California in 2004 when a visionary engineer, Fred Luddy, saw the potential to transform how we work. Fast forward to today — ServiceNow stands as a global market leader, bringing innovative AI-enhanced technology to over 8,100 customers, including 85% of the Fortune 500®. Our intelligent cloud-based platform seamlessly connects people, systems, and processes to empower organizations to find smarter, faster, and better ways to work. But this is just the beginning of our journey. Join us as we pursue our purpose to make the world work better for everyone.

 **Job Description** **About Digital Technology**


We’re not yesterday’s IT department, we're Digital Technology. The world around us keeps changing and so do we. We’re redefining what it means to be IT with a mindset centered on transformation, experience, AI-driven automation, innovation, and growth. We’re all about delivering delightful, secure customer and employee experiences that accelerate ServiceNow’s journey to become the defining enterprise software company of the 21st century. And we love co-creating, using, and highlighting our own products to do it.


Ultimately, we strive to make the world work better for our employees and customers—when you work in ServiceNow Digital Technology, you work for them.

**What you get to do in this role:**

* Drive analysis and conduct in depth studies on business performance. Take ownership and proactively identify trends and anomalies using a range of statistical methods, both univariate and multivariate, to establish correlations and causality
* Build and deploy predictive models that are accurate, robust, and informative in ways that help our business grow even faster
* Research and evaluate generative AI technologies and techniques for ServiceNow’s customer-centric use cases. Develop prototypes and proof of concepts
* Utilize your expertise in quantitative analysis and data visualization to go beyond the numbers. Transform raw data and model output into meaningful insights and actionable recommendations
* Prepare presentations to communicate the results or models to both technical and non-technical stakeholders

  

**Qualifications** **To be successful in this role you have:**

* Bachelor’s degree in an analytical field e.g., Mathematics, Computer Science, Statistics, Engineering, Machine learning, Artificial intelligence, or a related field. Master’s degree is a plus
* 1 to 2 years of prior experience in analytics, data science, strategy, business and or research or equivalent. At least 1+ or more years of experience in building predictive models, defining variables, variable selection, and measuring model quality
* Exposure to enterprise business processes across Marketing, Customer acquisition, Sales, Customer Success, Renewal, Professional services, Product or Usage Analytics, Customer Support, Finance, etc. in a cloud-based business model
* Excellent verbal and written communication skills and ability to engage effectively at all levels of the organization, to both technical and non-technical audiences
* Successful project experience with two or more of the following- regression, decision trees, random forests, Bayesian methods, neural networks , deep learning, support vector machines, associative rules methods, k-nearest neighbor, or NLP or text analytics
* Strong SQL skills with the ability to perform effective querying involving multiple tables and subqueries
* Experience with scripting in R, Python
* Experience with Excel and PowerPoint
* Experience with Tableau/Power BI is a plus
* Experience with Azure ML, Azure ML Pipelines, Databricks is a plus

  

#DTjobs


For positions in the Bay Area, we offer a base pay of $109,400 - $158,600, plus equity (when applicable), variable/incentive compensation and benefits. Sales positions generally offer a competitive On Target Earnings (OTE) incentive compensation structure. Please note that the base pay shown is a guideline, and individual total compensation will vary based on factors such as qualifications, skill level, competencies and work location. We also offer health plans, including flexible spending accounts, a 401(k) Plan with company match, ESPP, matching donations, a flexible time away plan and family leave programs (subject to eligibility requirements). Compensation is based on the geographic location in which the role is located, and is subject to change based on work location.

 **Additional Information** **Work Personas**


We approach our distributed world of work with flexibility and trust. Work personas (flexible, remote, or required in office) are categories that are assigned to ServiceNow employees depending on the nature of their work. Learn more here.


**Equal Opportunity Employer**


ServiceNow is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, national origin or nationality, ancestry, age, disability, gender identity or expression, marital status, veteran status, or any other category protected by law. In addition, all qualified applicants with arrest or conviction records will be considered for employment in accordance with legal requirements.


**Accommodations**


We strive to create an accessible and inclusive experience for all candidates. If you require a reasonable accommodation to complete any part of the application process, or are unable to use this online application and need an alternative method to apply, please contact talent.acquisition@servicenow.com for assistance.


**Export Control Regulations**


For positions requiring access to controlled technology subject to export control regulations, including the U.S. Export Administration Regulations (EAR), ServiceNow may be required to obtain export control approval from government authorities for certain individuals. All employment is contingent upon ServiceNow obtaining any export license or other approval that may be required by relevant export control authorities.


From Fortune. ©2024 Fortune Media IP Limited. All rights reserved. Used under license.","https://www.glassdoor.com/Overview/W-EI_IE403326.htm","","","","","","","","","","",""
"glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009397935507","","Associate, Data Science","SitusAMC","","","2024-08-07","","","","",True,"","SitusAMC is where the best and most passionate people come to transform our client’s businesses and their own careers. Whether you’re a real estate veteran, a passionate technologist, or looking to get your start, join us as we work together to realize opportunities for everyone, we proudly serve.
  
  

At SitusAMC, we are looking to match your unique experience with one of our amazing careers, so that we can help you realize your potential and career growth within the Real Estate Industry. If you are someone who can be yourself, advocate for others, stay nimble, dream big, own every outcome, and think global but act local – come join our team!
  
  

**Essential Job Functions:**  

* Formulate the business requirement into a technical data analytics problem
* Propose solutions and strategies to business problems /challenges
* Identify valuable data sources and automate data processes
* Experience in processing of structured and unstructured data for the analytics use cases
* Analyze large amounts of information to discover trends and patterns
* Build apt predictive models and machine-learning algorithms to solve the business problem
* Combine models through ensemble modeling methods
* Present information using data visualization techniques
* Collaborate with engineering and product development teams


**Note:** This job description is not intended to be all inclusive or exclusive. At any time, employees may perform other related duties as required to meet the ongoing needs of the organization and participate in additional trainings. SitusAMC does not accept unsolicited resumes from staffing agencies, search firms or any third parties. Any unsolicited resume submitted to SitusAMC in any manner will be considered SitusAMC property, and SitusAMC will not pay a fee for any placement resulting from the receipt of an unsolicited resume.
  
  

The annual full time base salary range for this role is
  
  

Specific compensation is determined through interviews and a review of relevant education, experience, training, skills, geographic location and alignment with market data. Additionally, certain positions may be eligible to receive a discretionary bonus as determined by bonus program guidelines, position eligibility and SitusAMC Senior Management approval.
  
  

SitusAMC offers a comprehensive and competitive benefits plan.
  
  

SitusAMC is an Equal Opportunity Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, national origin, disability, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by law.
  
  

SitusAMC does not accept unsolicited resumes from staffing agencies, search firms or any third parties. Any unsolicited resume submitted to SitusAMC in any manner will be considered SitusAMC property, and SitusAMC will not pay a fee for any placement resulting from the receipt of an unsolicited resume.","https://www.glassdoor.com/Overview/W-EI_IE3429719.htm","","","","","","","","","","",""
"glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009396557398","","Senior Data Scientist","Grid Dynamics","Seattle, WA","","2024-08-07","yearly",144080.0,195655.0,"USD",False,"","**Our customer is one of the world's largest technology companies based in Silicon Valley with operations all over the world. On this project, we are working with bleeding-edge big data technologies to develop a high-performance data analytics platform, which handles petabytes of data. We are looking for an enthusiastic and technology-proficient Senior****Data Scientist****, who is eager to participate in design and implementation of a top-notch big data solution that will be deployed at a massive scale.**


Responsibilities :

* Research how to best use techniques like Supervised Fine Tuning (SFT) and Reinforcement Learning with Human Feedback (RLHF) to align LLMs.
* Work with technical and non-technical stakeholders to align LLMs for specific use cases.
* Research approaches to ensure LLMs are safe, preventing the generation of harmful content and maintaining alignment with societal norms.
* Research scalable oversight mechanisms that enable efficient monitoring and control of LLMs as they grow in size and complexity, ensuring consistent alignment with predefined objectives.


Requirements :

* Strong understanding of machine learning principles, especially in the context of LLMs.
* Knowledgable about different LLM approaches for aligning LLMs (SFT, RLHF, etc.).
* Can own and pursue a research agenda, including choosing impactful research problems and autonomously carrying out projects.
* Fluent in at least one statistical programming language such as Python (preferred) or R.
* Demonstrated background in collecting data from human participants (e.g., surveys, experiments) with knowledge about data quality, data validity, etc.
* Strong verbal and written communications skills with the ability to work effectively across internal and external organizations and virtual teams.
* PhD or advanced degree in computer science, machine learning, cognitive science, psychology, economics, or similar (preferred).

**What we offer:**

* Opportunity to work on cutting-edge projects
* Work with a highly motivated and dedicated team
* Competitive salary
* Flexible schedule
* Full benefits including but not limited to medical, dental, vision
* Corporate social events
* Professional development opportunities

**About Us:**


Grid Dynamics (Nasdaq:GDYN) is a digital-native technology services provider that accelerates growth and bolsters competitive advantage for Fortune 1000 companies. Grid Dynamics provides digital transformation consulting and implementation services in omnichannel customer experience, big data analytics, search, artificial intelligence, cloud migration, and application modernization. Grid Dynamics achieves high speed-to-market, quality, and efficiency by using technology accelerators, an agile delivery culture, and its pool of global engineering talent. Founded in 2006, Grid Dynamics is headquartered in Silicon Valley with offices across the US, UK, Netherlands, Mexico, and Central and Eastern Europe.


To learn more about Grid Dynamics, please visit **www.griddynamics.com**. Follow us on **Facebook**, **Twitter**, and **LinkedIn**.","https://www.glassdoor.com/Overview/W-EI_IE245799.htm","","","","","","","","","","",""
